LEA,Percentage to Increase or Improve Services,"Increased Apportionment based on the Enrollment of FosterYouth, English Learners, and Low-income Students",LCAP Goal 1,LCAP Goal 2,LCAP Goal 3,LCAP Goal 4,LCAP Goal 5,LCAP Goal 6,LCAP Goal 7
Alpine Union School District,6.87%,"$928,348.00 ",Effective Instruction and Curriculum - Provide equitable access to high-quality classroom curriculum and instruction in an inclusive environment that promotes student success.,"Safe and Respectful Environments - Ensure all school sites are safe and have healthy and welcoming climates for staff, students, and their families so that all students feel connected and are motivated to attend and ready to learn.",Equitable and Culturally Responsible Systems - Ensure systems and processes eliminate barriers to student success and are equitable and culturally responsive to the needs of our students and their families.,,,,
Bonsall Unified School District,6.78%,"$1,362,122.00 ","Bonsall Unified School District will provide access to highly rigorous coursework across all grade levels for all students, including Native American, English Learners, Low-Income, and Foster Youth subgroups.",Improve student engagement and family involvement to increase academic achievement.,,,,,
Borrego Springs Unified School District,31.55%,"$1,161,428.00 ",Focus on improving student achievement for all students. Specific focus on ELL and low socioeconomic students in ELA and Math.,"Foster character development and a sense of well-being for our students and provide support for the whole child. Provide a safe, supportive learning environment.","Improve the engagement of students, parents, and the entire community of Borrego Springs in the support of high quality education. Enhance communication and build connections and relationships between students, parents, community and school.",,,,
Cajon Valley Union School District,22.37%,"$28,220,714.00 ","All students will engage in a modern curriculum that will prepare them for the World of Work, based on their strengths, interests, and values.","All students, staff, and families will feel safe, empowered, and respected.","All students will excel in reading, writing, listening, speaking, and mathematics.",,,,
Cardiff School District,3.28%,"$174,566.00 ",Ensure excellence in student learning for all students in all subject areas through high quality instruction and responsive intervention,Support the social and emotional growth of all students,Improve and/or increase parent participation in their child(ren)s learning process,,,,
Carlsbad Unified School District,4.71%,"$4,704,369.00 ",Ensure that students demonstrate academic growth and proficiencies so they leave TK-12 ready for college/career,"Align student learning to State-adopted standards supported by materials, instruction, and technology in a safe and clean environment","Engage parents, staff, and community to promote unique educational opportunities for students",,,,
Chula Vista Elementary School District,13.62%,"$26,047,038.00 ","The district will continue to learn, reflect, and improve or increase equity initiatives for all students and families, with a specific focus on Black, Indigenous, People of Color (BIPOC), English Learners, Students with Disabilities (SWD), Low Income, Foster Youth, Homeless students, and LGBTQ+ students.","The district will improve and increase access to services for all students and families that support social, emotional, and physical wellness with a specific focus on Black, Indigenous, People of Color (BIPOC), English Learners, Students with Disabilities (SWD), Low Income, Foster Youth, Homeless students, and LGBTQ+ students.","The district will improve and increase access to services for all students to improve academic achievement with a specific focus on Black, Indigenous, People of Color (BIPOC), English Learners, Students with Disabilities (SWD), Low Income, Foster Youth, Homeless students, and LGBTQ+ students.",,,,
Coronado Unified School District,2.66%,"$717,344.00 ",LEARNING: Integrate personalized learning with assessment methods that will prepare all students for academic and vocational success.,"Communication: Communicate openly, freely, and accurately to engage and involve all stakeholders.",Support: Maintain safe and supportive schools where students and staff thrive.,,,,
Dehesa School District,9.40%,"$107,866.00 ",Provide family and community engagement opportunities to support and improve student achievement and to promote a positive school climate.,"Provide curriculum and professional development to support building student success based on Common Core State Standards, Next Generation Science Standards, technology and other areas of the curriculum.",Use community and school services and differentiated instructions/materials to support the social-emotional and physical well-being of students and their families.,,,,
Del Mar Union School District,3.47%,"$1,197,799.00 ","Students will experience high-quality standards-based learning applied to real-world contexts using multi-modal methods to create, communicate, and think critically. Students’ experiences will build upon their passions, interests, and strengths.",Students will demonstrate compassion and empathy by engaging with a sense of purpose in a collaborative school community that embraces diversity and promotes meaningful relationships,,,,,
