Color Desc,District,Enrollment Type,County,Data Set,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Row Label,Absenteeism Indicator,Change %
Green,Vallecitos Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,Low,4.70%,-1.10%
Green,Solana Beach Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,Low,3.40%,-0.50%
Green,Solana Beach Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,Low,4.70%,-1.00%
Green,SBC - High Tech High,English Learner,San Diego,Fall 2019,Statewide Benefit Charter,ELL Status,currstatus,San Diego/Imperial,Declined,Low,4.60%,-1.20%
Green,Coronado Unified,Black,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Low,3.00%,-0.30%
Green,Bonsall Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Declined,Low,4.90%,-1.70%
Blue,San Pasqual Union Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,Very Low,0.00%,-2.70%
Blue,San Pasqual Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,Very Low,2.40%,-0.90%
Green,SBC - High Tech High,Black,San Diego,Fall 2019,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Very Low,2.40%,2.40%
Blue,Warner Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Declined,Very Low,0.00%,-3.30%
Green,Cardiff Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,Medium,8.20%,-4.60%
Green,Del Mar Union Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,Medium,5.20%,-2.20%
Green,Fallbrook Union Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,Medium,7.40%,-1.90%
Green,Fallbrook Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,Medium,8.10%,-1.70%
Green,Del Mar Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,Medium,7.70%,-0.50%
Green,Lemon Grove,Amer Indian,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Medium,6.50%,-10.60%
Green,Chula Vista Elementary,Amer Indian,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Medium,6.50%,-3.90%
Green,Encinitas Union Elementary,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Medium,9.10%,-4.00%
Green,Del Mar Union Elementary,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Medium,7.70%,-0.60%
Orange,Sweetwater Union High,English Learner,San Diego,Fall 2019,High School District,ELL Status,currstatus,San Diego/Imperial,Increased,Medium,9.90%,1.20%
Orange,San Dieguito Union High,English Learner,San Diego,Fall 2019,High School District,ELL Status,currstatus,San Diego/Imperial,Increased,Medium,10.00%,1.80%
Orange,Sweetwater Union High,Econ Disadv,San Diego,Fall 2019,High School District,Economic Status,currstatus,San Diego/Imperial,Increased,Medium,9.70%,1.40%
Orange,Sweetwater Union High,Black,San Diego,Fall 2019,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Medium,7.70%,0.50%
Green,SBC - High Tech High,Econ Disadv,San Diego,Fall 2019,Statewide Benefit Charter,Economic Status,currstatus,San Diego/Imperial,Declined,Medium,5.40%,-0.50%
Orange,Vista Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Increased,Medium,7.70%,1.20%
Orange,Coronado Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Increased,Medium,9.40%,6.00%
Orange,Vista Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Medium,9.10%,0.70%
Yellow,Carlsbad Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Maintained,Medium,8.80%,-0.40%
Yellow,San Marcos Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Maintained,Medium,7.10%,-0.40%
Yellow,Poway Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Maintained,Medium,7.70%,-0.20%
Yellow,Coronado Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Medium,7.00%,-0.40%
Yellow,San Marcos Unified,Black,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Medium,8.10%,0.00%
Yellow,Bonsall Unified,Black,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Medium,7.50%,0.40%
Green,Bonsall Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Medium,9.70%,-2.10%
Green,San Marcos Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Medium,8.50%,-1.10%
Yellow,Lakeside Union Elementary (San Diego),English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,High,11.80%,-1.50%
Yellow,South Bay Union,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined,High,14.40%,-0.70%
Yellow,Dehesa Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,High,14.10%,-4.20%
Yellow,Santee,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,High,10.60%,-0.60%
Yellow,National Elementary,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,High,17.60%,-11.00%
Yellow,Santee,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,High,12.20%,-0.50%
Yellow,National Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Declined Significantly,High,11.60%,-15.70%
Yellow,National Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined Significantly,High,12.60%,-16.00%
Yellow,Julian Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined Significantly,High,17.40%,-8.20%
Orange,San Dieguito Union High,Econ Disadv,San Diego,Fall 2019,High School District,Economic Status,currstatus,San Diego/Imperial,Maintained,High,10.70%,-0.30%
Red,Mountain Empire Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Increased Significantly,High,18.90%,6.00%
Red,Borrego Springs Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Increased Significantly,High,13.50%,8.90%
Red,Borrego Springs Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,High,15.80%,11.10%
Orange,San Diego Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,15.60%,1.80%
Orange,Valley Center-Pauma Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,18.20%,0.70%
Orange,Carlsbad Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,11.90%,0.90%
Orange,Poway Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,11.80%,1.10%
Orange,San Diego Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,16.70%,1.50%
Orange,Warner Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,11.50%,3.70%
Orange,Vista Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,13.20%,5.80%
Orange,Warner Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,12.20%,7.40%
Orange,San Marcos Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,13.60%,7.50%
