District,Year,All Students,County,District Classification,Metric,Region,Col Label,Color Desc,Row Label,Status %
Alpine Union Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Increased Significantly,Blue,High,61.70%
Alpine Union Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,78.20%
Alpine Union Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Increased Significantly,Blue,High,50.00%
Alpine Union Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,76.40%
Bonsall Unified,2016,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,77.90%
Bonsall Unified,2017,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,70.50%
Bonsall Unified,2014,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Maintained,Green,High,76.00%
Bonsall Unified,2015,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Maintained,Green,High,75.50%
Borrego Springs Unified,2015,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,70.00%
Borrego Springs Unified,2014,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,71.60%
Borrego Springs Unified,2016,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Increased,Green,High,78.30%
Borrego Springs Unified,2017,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Increased,Green,High,80.20%
Cajon Valley Union,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Increased,Green,Medium,65.30%
Cajon Valley Union,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Increased,Green,Medium,70.40%
Cajon Valley Union,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Maintained,Orange,Low,67.10%
Cajon Valley Union,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Maintained,Orange,Low,66.30%
Cardiff Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,74.50%
Cardiff Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,70.80%
Cardiff Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,76.80%
Cardiff Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,73.10%
Carlsbad Unified,2016,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Declined,Yellow,High,79.50%
Carlsbad Unified,2017,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Declined,Yellow,High,76.20%
Carlsbad Unified,2014,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Maintained,Green,High,76.20%
Carlsbad Unified,2015,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Maintained,Green,High,76.40%
Chula Vista Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,70.70%
Chula Vista Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,74.90%
Chula Vista Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Increased,Green,High,71.90%
Chula Vista Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Increased,Green,High,78.00%
Coronado Unified,2016,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,Increased,Blue,Very High,85.10%
Coronado Unified,2017,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,Increased,Blue,Very High,87.20%
Coronado Unified,2014,All Students,San Diego,Unified School District,priorstatus,San Diego/Imperial,No Color,No Color,No Color,94.30%
Coronado Unified,2015,All Students,San Diego,Unified School District,currstatus,San Diego/Imperial,No Color,No Color,No Color,98.20%
Dehesa Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,No Color,No Color,No Color,69.60%
Dehesa Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,No Color,No Color,No Color,85.00%
Del Mar Union Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Increased,Blue,Very High,87.00%
Del Mar Union Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Increased,Blue,Very High,89.20%
Del Mar Union Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Green,Very High,89.90%
Del Mar Union Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Green,Very High,85.60%
Encinitas Union Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Low,73.40%
Encinitas Union Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Low,64.70%
Encinitas Union Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,73.70%
Encinitas Union Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,67.40%
Escondido Union,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,76.30%
Escondido Union,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,74.10%
Escondido Union,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Maintained,Yellow,Medium,69.90%
Escondido Union,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,70.20%
Escondido Union High,2015,All Students,San Diego,High School District,currstatus,San Diego/Imperial,Increased,Green,Medium,71.20%
Escondido Union High,2014,All Students,San Diego,High School District,priorstatus,San Diego/Imperial,Increased,Green,Medium,68.70%
Escondido Union High,2016,All Students,San Diego,High School District,priorstatus,San Diego/Imperial,Increased,Green,High,73.50%
Escondido Union High,2017,All Students,San Diego,High School District,currstatus,San Diego/Imperial,Increased,Green,High,79.80%
Fallbrook Union Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Maintained,Yellow,Medium,74.30%
Fallbrook Union Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,73.90%
Fallbrook Union Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,75.70%
Fallbrook Union Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,73.60%
Fallbrook Union High,2016,All Students,San Diego,High School District,priorstatus,San Diego/Imperial,Declined Significantly,Orange,Medium,84.00%
Fallbrook Union High,2017,All Students,San Diego,High School District,currstatus,San Diego/Imperial,Declined Significantly,Orange,Medium,68.80%
Fallbrook Union High,2014,All Students,San Diego,High School District,priorstatus,San Diego/Imperial,Increased,Green,High,70.10%
Fallbrook Union High,2015,All Students,San Diego,High School District,currstatus,San Diego/Imperial,Increased,Green,High,76.50%
Grossmont Union High,2016,All Students,San Diego,High School District,priorstatus,San Diego/Imperial,Maintained,Yellow,Medium,70.60%
Grossmont Union High,2017,All Students,San Diego,High School District,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,71.00%
Grossmont Union High,2014,All Students,San Diego,High School District,priorstatus,San Diego/Imperial,Maintained,Yellow,Medium,67.20%
Grossmont Union High,2015,All Students,San Diego,High School District,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,67.50%
Jamul-Dulzura Union Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined,Orange,Medium,80.00%
Jamul-Dulzura Union Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined,Orange,Medium,72.90%
Jamul-Dulzura Union Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Declined Significantly,Orange,High,90.90%
Jamul-Dulzura Union Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Declined Significantly,Orange,High,75.60%
Julian Union Elementary,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,No Color,No Color,No Color,70.80%
Julian Union Elementary,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,No Color,No Color,No Color,50.00%
Julian Union Elementary,2014,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,No Color,No Color,No Color,44.00%
Julian Union Elementary,2015,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,No Color,No Color,No Color,45.80%
La Mesa-Spring Valley,2016,All Students,San Diego,Elementary School District,priorstatus,San Diego/Imperial,Increased,Green,Medium,67.40%
La Mesa-Spring Valley,2017,All Students,San Diego,Elementary School District,currstatus,San Diego/Imperial,Increased,Green,Medium,69.90%
