District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
San Diego County Office of Education,2017,All Students,San Diego,County Office of Education (COE),All Students,currstatus,San Diego/Imperial,,,,46.00%
San Diego County Office of Education,2017,SwD,San Diego,County Office of Education (COE),Disability Status,currstatus,San Diego/Imperial,,,,52.40%
San Diego County Office of Education,2017,Econ Disadv,San Diego,County Office of Education (COE),Economic Status,currstatus,San Diego/Imperial,,,,45.80%
San Diego County Office of Education,2017,Asian,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,,,,36.40%
San Diego County Office of Education,2017,Black,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,,,,52.10%
San Diego County Office of Education,2017,Hispanic,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,,,,44.30%
San Diego County Office of Education,2017,Two or More,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,,,,50.00%
San Diego County Office of Education,2017,White,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,,,,46.20%
San Dieguito Union High,2017,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,,,,94.40%
Fallbrook Union High,2017,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,,,,78.60%
Sweetwater Union High,2017,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,,,,86.30%
Escondido Union High,2017,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,,,,86.80%
Grossmont Union High,2017,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,,,,80.40%
Julian Union High,2017,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,,,,97.50%
San Dieguito Union High,2017,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,,,,79.80%
Fallbrook Union High,2017,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,,,,58.00%
Sweetwater Union High,2017,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,,,,72.10%
Escondido Union High,2017,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,,,,74.60%
Grossmont Union High,2017,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,,,,59.10%
San Dieguito Union High,2017,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,,,,85.70%
Fallbrook Union High,2017,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,,,,76.90%
Sweetwater Union High,2017,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,,,,84.40%
Escondido Union High,2017,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,,,,85.10%
Grossmont Union High,2017,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,,,,75.60%
Julian Union High,2017,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,,,,95.70%
Sweetwater Union High,2017,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,72.70%
Grossmont Union High,2017,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,75.00%
San Dieguito Union High,2017,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,98.50%
Sweetwater Union High,2017,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,97.30%
Escondido Union High,2017,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.20%
Grossmont Union High,2017,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,76.70%
San Dieguito Union High,2017,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,86.40%
Fallbrook Union High,2017,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,69.20%
Sweetwater Union High,2017,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,87.00%
Escondido Union High,2017,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,90.00%
Grossmont Union High,2017,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,69.00%
San Dieguito Union High,2017,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.50%
Sweetwater Union High,2017,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.40%
Escondido Union High,2017,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,94.30%
Grossmont Union High,2017,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,88.60%
San Dieguito Union High,2017,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,83.40%
Fallbrook Union High,2017,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,72.20%
Sweetwater Union High,2017,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,85.20%
Escondido Union High,2017,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,84.50%
Grossmont Union High,2017,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,77.20%
Sweetwater Union High,2017,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,85.70%
Grossmont Union High,2017,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,82.40%
San Dieguito Union High,2017,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,100.00%
Sweetwater Union High,2017,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,90.50%
Grossmont Union High,2017,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,84.80%
