District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Performance Level Label,Row Label,Status %
Alpine Union Elementary,2017,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Yellow,"High, Declined Significantly (Yellow )",High,3.60%
Alpine Union Elementary,2017,Econ Disadv,San Diego,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,2.00%
Alpine Union Elementary,2017,SwD,San Diego,Elementary School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,3.80%
Alpine Union Elementary,2015,White,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.40%
Alpine Union Elementary,2015,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.00%
Alpine Union Elementary,2015,Hispanic,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.30%
Alpine Union Elementary,2017,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Red,"Very High, Increased Significantly (Red )",Very High,11.40%
Alpine Union Elementary,2014,Two or More,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2019,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2017,Asian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2017,Filipino,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2017,Two or More,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Alpine Union Elementary,2014,Pacific Isle,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2016,Black,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased Significantly,Red,"Very High, Increased Significantly (Red )",Very High,0.00%
Alpine Union Elementary,2016,SwD,San Diego,Elementary School District,Disability Status,priorstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,1.50%
