,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Bonsall Unified,-3.95%,5.64%,1.69%
Asian,2019,Bonsall Unified,-0.82%,2.50%,1.69%
Black or African American,2019,Bonsall Unified,0.94%,1.59%,2.53%
Caucasian,2019,Bonsall Unified,28.16%,43.17%,71.33%
Filipino,2019,Bonsall Unified,-0.86%,1.71%,0.84%
Hispanic,2019,Bonsall Unified,-28.52%,35.27%,6.75%
Multiracial,2019,Bonsall Unified,-7.03%,7.03%,0.00%
Native Hawaiian/Pacific Islander,2019,Bonsall Unified,-0.68%,0.68%,0.00%
Unknown,2019,Bonsall Unified,-2.42%,2.42%,0.00%
Unreported,2019,Bonsall Unified,15.18%,0.00%,15.18%
