,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Cajon Valley Union,0.53%,0.21%,0.74%
Asian,2019,Cajon Valley Union,-1.30%,2.98%,1.68%
Black or African American,2019,Cajon Valley Union,-4.54%,5.91%,1.36%
Caucasian,2019,Cajon Valley Union,31.16%,46.31%,77.47%
Filipino,2019,Cajon Valley Union,0.49%,0.47%,0.96%
Hispanic,2019,Cajon Valley Union,-19.65%,36.50%,16.86%
Multiracial,2019,Cajon Valley Union,-2.44%,2.44%,0.00%
Native Hawaiian/Pacific Islander,2019,Cajon Valley Union,-0.62%,0.66%,0.05%
Unknown,2019,Cajon Valley Union,-4.52%,4.52%,0.00%
Unreported,2019,Cajon Valley Union,0.89%,0.00%,0.89%
