,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Chula Vista Elementary,-0.11%,0.18%,0.06%
Asian,2019,Chula Vista Elementary,1.51%,2.28%,3.79%
Black or African American,2019,Chula Vista Elementary,-2.18%,3.55%,1.37%
Caucasian,2019,Chula Vista Elementary,36.11%,10.80%,46.91%
Filipino,2019,Chula Vista Elementary,-2.88%,9.04%,6.16%
Hispanic,2019,Chula Vista Elementary,-31.51%,69.96%,38.44%
Multiracial,2019,Chula Vista Elementary,-3.50%,3.50%,0.00%
Native Hawaiian/Pacific Islander,2019,Chula Vista Elementary,0.28%,0.36%,0.64%
Unknown,2019,Chula Vista Elementary,-0.33%,0.33%,0.00%
Unreported,2019,Chula Vista Elementary,2.62%,0.00%,2.62%
