,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Coronado Unified,-0.43%,0.43%,0.00%
Asian,2019,Coronado Unified,1.78%,1.60%,3.38%
Black or African American,2019,Coronado Unified,-0.83%,1.50%,0.68%
Caucasian,2019,Coronado Unified,19.29%,61.40%,80.69%
Filipino,2019,Coronado Unified,-1.77%,1.77%,0.00%
Hispanic,2019,Coronado Unified,-15.52%,20.12%,4.59%
Multiracial,2019,Coronado Unified,-8.18%,8.18%,0.00%
Native Hawaiian/Pacific Islander,2019,Coronado Unified,0.32%,0.36%,0.68%
Unknown,2019,Coronado Unified,-4.65%,4.65%,0.00%
Unreported,2019,Coronado Unified,9.99%,0.00%,9.99%
