,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Dehesa Elementary,-0.47%,0.52%,0.05%
Asian,2019,Dehesa Elementary,-1.07%,3.57%,2.50%
Black or African American,2019,Dehesa Elementary,-2.77%,4.11%,1.34%
Caucasian,2019,Dehesa Elementary,32.35%,54.22%,86.57%
Filipino,2019,Dehesa Elementary,-0.18%,1.00%,0.82%
Hispanic,2019,Dehesa Elementary,-18.67%,27.13%,8.47%
Multiracial,2019,Dehesa Elementary,-6.54%,6.65%,0.12%
Native Hawaiian/Pacific Islander,2019,Dehesa Elementary,-0.25%,0.27%,0.02%
Unknown,2019,Dehesa Elementary,-2.52%,2.52%,0.00%
Unreported,2019,Dehesa Elementary,0.12%,0.00%,0.12%
