,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Escondido Union,0.00%,0.19%,0.19%
Asian,2019,Escondido Union,-0.69%,2.34%,1.65%
Black or African American,2019,Escondido Union,-0.81%,1.35%,0.54%
Caucasian,2019,Escondido Union,57.80%,18.62%,76.43%
Filipino,2019,Escondido Union,-0.88%,1.56%,0.68%
Hispanic,2019,Escondido Union,-54.27%,71.90%,17.64%
Multiracial,2019,Escondido Union,-1.29%,3.09%,1.80%
Native Hawaiian/Pacific Islander,2019,Escondido Union,-0.12%,0.12%,0.00%
Unknown,2019,Escondido Union,-0.81%,0.81%,0.00%
Unreported,2019,Escondido Union,1.07%,0.00%,1.07%
