,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Fallbrook Union High,-0.79%,0.79%,0.00%
Asian,2019,Fallbrook Union High,0.84%,0.93%,1.77%
Black or African American,2019,Fallbrook Union High,1.88%,1.07%,2.95%
Caucasian,2019,Fallbrook Union High,50.95%,25.63%,76.57%
Filipino,2019,Fallbrook Union High,-0.79%,0.79%,0.00%
Hispanic,2019,Fallbrook Union High,-53.06%,67.83%,14.76%
Multiracial,2019,Fallbrook Union High,-0.87%,1.86%,0.98%
Native Hawaiian/Pacific Islander,2019,Fallbrook Union High,0.75%,0.23%,0.98%
Unknown,2019,Fallbrook Union High,-0.88%,0.88%,0.00%
Unreported,2019,Fallbrook Union High,1.97%,0.00%,1.97%
