,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Grossmont Union High,-0.56%,0.66%,0.10%
Asian,2019,Grossmont Union High,-0.68%,2.28%,1.60%
Black or African American,2019,Grossmont Union High,-3.49%,6.20%,2.71%
Caucasian,2019,Grossmont Union High,30.81%,41.40%,72.21%
Filipino,2019,Grossmont Union High,-0.80%,1.60%,0.80%
Hispanic,2019,Grossmont Union High,-36.15%,40.64%,4.49%
Multiracial,2019,Grossmont Union High,-6.37%,6.37%,0.00%
Native Hawaiian/Pacific Islander,2019,Grossmont Union High,-0.26%,0.56%,0.30%
Unknown,2019,Grossmont Union High,-0.28%,0.28%,0.00%
Unreported,2019,Grossmont Union High,17.79%,0.00%,17.79%
