,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Jamul-Dulzura Union Elementary,-0.53%,0.53%,0.00%
Asian,2019,Jamul-Dulzura Union Elementary,-1.20%,1.20%,0.00%
Black or African American,2019,Jamul-Dulzura Union Elementary,1.08%,1.87%,2.95%
Caucasian,2019,Jamul-Dulzura Union Elementary,13.04%,35.33%,48.38%
Filipino,2019,Jamul-Dulzura Union Elementary,-0.40%,0.40%,0.00%
Hispanic,2019,Jamul-Dulzura Union Elementary,-47.56%,54.93%,7.37%
Multiracial,2019,Jamul-Dulzura Union Elementary,-5.20%,5.20%,0.00%
Native Hawaiian/Pacific Islander,2019,Jamul-Dulzura Union Elementary,-0.13%,0.13%,0.00%
Unknown,2019,Jamul-Dulzura Union Elementary,-0.40%,0.40%,0.00%
Unreported,2019,Jamul-Dulzura Union Elementary,41.30%,0.00%,41.30%
