,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Lakeside Union Elementary (San Diego),-1.68%,1.68%,0.00%
Asian,2019,Lakeside Union Elementary (San Diego),0.31%,1.65%,1.96%
Black or African American,2019,Lakeside Union Elementary (San Diego),-4.00%,4.00%,0.00%
Caucasian,2019,Lakeside Union Elementary (San Diego),-41.13%,56.25%,15.12%
Filipino,2019,Lakeside Union Elementary (San Diego),-1.34%,1.34%,0.00%
Hispanic,2019,Lakeside Union Elementary (San Diego),-21.99%,31.18%,9.20%
Multiracial,2019,Lakeside Union Elementary (San Diego),-3.24%,3.24%,0.00%
Native Hawaiian/Pacific Islander,2019,Lakeside Union Elementary (San Diego),-0.65%,0.65%,0.00%
Unknown,2019,Lakeside Union Elementary (San Diego),-0.02%,0.02%,0.00%
Unreported,2019,Lakeside Union Elementary (San Diego),73.73%,0.00%,73.73%
