,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,La Mesa-Spring Valley,0.01%,0.19%,0.21%
Asian,2019,La Mesa-Spring Valley,-0.34%,2.56%,2.22%
Black or African American,2019,La Mesa-Spring Valley,-7.18%,8.62%,1.44%
Caucasian,2019,La Mesa-Spring Valley,53.09%,27.99%,81.08%
Filipino,2019,La Mesa-Spring Valley,-0.09%,2.46%,2.37%
Hispanic,2019,La Mesa-Spring Valley,-38.02%,49.05%,11.03%
Multiracial,2019,La Mesa-Spring Valley,-8.37%,8.37%,0.00%
Native Hawaiian/Pacific Islander,2019,La Mesa-Spring Valley,-0.68%,0.68%,0.00%
Unknown,2019,La Mesa-Spring Valley,-0.07%,0.07%,0.00%
Unreported,2019,La Mesa-Spring Valley,1.65%,0.00%,1.65%
