,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,National Elementary,-0.07%,0.07%,0.00%
Asian,2019,National Elementary,1.16%,2.02%,3.19%
Black or African American,2019,National Elementary,-0.61%,1.32%,0.71%
Caucasian,2019,National Elementary,39.67%,2.08%,41.74%
Filipino,2019,National Elementary,-3.68%,8.26%,4.58%
Hispanic,2019,National Elementary,-34.77%,83.85%,49.08%
Multiracial,2019,National Elementary,-1.70%,1.70%,0.00%
Native Hawaiian/Pacific Islander,2019,National Elementary,-0.04%,0.40%,0.35%
Unknown,2019,National Elementary,-0.31%,0.31%,0.00%
Unreported,2019,National Elementary,0.35%,0.00%,0.35%
