,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Oceanside Unified,0.35%,0.31%,0.66%
Asian,2019,Oceanside Unified,0.29%,1.89%,2.18%
Black or African American,2019,Oceanside Unified,-2.63%,4.30%,1.68%
Caucasian,2019,Oceanside Unified,48.32%,25.27%,73.58%
Filipino,2019,Oceanside Unified,-1.55%,2.83%,1.27%
Hispanic,2019,Oceanside Unified,-39.82%,56.55%,16.73%
Multiracial,2019,Oceanside Unified,-3.94%,6.02%,2.08%
Native Hawaiian/Pacific Islander,2019,Oceanside Unified,-0.79%,1.68%,0.88%
Unknown,2019,Oceanside Unified,-1.16%,1.16%,0.00%
Unreported,2019,Oceanside Unified,0.94%,0.00%,0.94%
