,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Poway Unified,0.23%,0.18%,0.40%
Asian,2019,Poway Unified,-20.71%,21.50%,0.79%
Black or African American,2019,Poway Unified,-1.37%,1.87%,0.50%
Caucasian,2019,Poway Unified,19.13%,44.69%,63.82%
Filipino,2019,Poway Unified,-4.42%,6.24%,1.82%
Hispanic,2019,Poway Unified,-10.55%,15.21%,4.66%
Multiracial,2019,Poway Unified,-7.76%,7.96%,0.20%
Native Hawaiian/Pacific Islander,2019,Poway Unified,-0.30%,0.36%,0.07%
Unknown,2019,Poway Unified,-1.99%,1.99%,0.00%
Unreported,2019,Poway Unified,27.74%,0.00%,27.74%
