,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,San Diego Unified,0.15%,0.32%,0.47%
Asian,2019,San Diego Unified,-4.03%,8.55%,4.52%
Black or African American,2019,San Diego Unified,-3.81%,8.18%,4.38%
Caucasian,2019,San Diego Unified,39.66%,23.13%,62.80%
Filipino,2019,San Diego Unified,-1.70%,4.75%,3.06%
Hispanic,2019,San Diego Unified,-27.91%,46.20%,18.29%
Multiracial,2019,San Diego Unified,-6.49%,7.59%,1.09%
Native Hawaiian/Pacific Islander,2019,San Diego Unified,-0.32%,0.43%,0.11%
Unknown,2019,San Diego Unified,-0.85%,0.85%,0.00%
Unreported,2019,San Diego Unified,5.29%,0.00%,5.29%
