,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,San Ysidro Elementary,-0.04%,0.04%,0.00%
Asian,2019,San Ysidro Elementary,3.14%,0.66%,3.80%
Black or African American,2019,San Ysidro Elementary,-0.93%,2.62%,1.69%
Caucasian,2019,San Ysidro Elementary,14.13%,1.49%,15.61%
Filipino,2019,San Ysidro Elementary,-2.36%,3.63%,1.27%
Hispanic,2019,San Ysidro Elementary,-15.69%,89.95%,74.26%
Multiracial,2019,San Ysidro Elementary,-1.42%,1.42%,0.00%
Native Hawaiian/Pacific Islander,2019,San Ysidro Elementary,0.42%,0.00%,0.42%
Unknown,2019,San Ysidro Elementary,-0.20%,0.20%,0.00%
Unreported,2019,San Ysidro Elementary,2.95%,0.00%,2.95%
