,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,San Diego County Office of Education,0.17%,0.31%,0.48%
Asian,2019,San Diego County Office of Education,-7.82%,10.87%,3.05%
Black or African American,2019,San Diego County Office of Education,1.49%,4.25%,5.75%
Caucasian,2019,San Diego County Office of Education,39.87%,34.90%,74.77%
Filipino,2019,San Diego County Office of Education,-0.28%,1.48%,1.20%
Hispanic,2019,San Diego County Office of Education,-28.03%,41.55%,13.52%
Multiracial,2019,San Diego County Office of Education,-5.58%,6.11%,0.53%
Native Hawaiian/Pacific Islander,2019,San Diego County Office of Education,-0.03%,0.27%,0.24%
Unknown,2019,San Diego County Office of Education,-0.27%,0.27%,0.00%
Unreported,2019,San Diego County Office of Education,0.48%,0.00%,0.48%
