,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Sweetwater Union High,-0.34%,0.34%,0.00%
Asian,2019,Sweetwater Union High,-1.56%,1.62%,0.05%
Black or African American,2019,Sweetwater Union High,-2.54%,2.75%,0.22%
Caucasian,2019,Sweetwater Union High,-5.14%,8.03%,2.89%
Filipino,2019,Sweetwater Union High,-8.06%,8.42%,0.36%
Hispanic,2019,Sweetwater Union High,-35.31%,73.94%,38.63%
Multiracial,2019,Sweetwater Union High,-4.45%,4.45%,0.00%
Native Hawaiian/Pacific Islander,2019,Sweetwater Union High,-0.38%,0.38%,0.00%
Unknown,2019,Sweetwater Union High,-0.07%,0.07%,0.00%
Unreported,2019,Sweetwater Union High,57.85%,0.00%,57.85%
