,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Valley Center-Pauma Unified,-9.43%,9.43%,0.00%
Asian,2019,Valley Center-Pauma Unified,0.29%,0.84%,1.13%
Black or African American,2019,Valley Center-Pauma Unified,0.02%,0.55%,0.57%
Caucasian,2019,Valley Center-Pauma Unified,36.90%,28.97%,65.87%
Filipino,2019,Valley Center-Pauma Unified,0.10%,0.47%,0.57%
Hispanic,2019,Valley Center-Pauma Unified,-34.96%,54.80%,19.84%
Multiracial,2019,Valley Center-Pauma Unified,-3.50%,4.07%,0.57%
Native Hawaiian/Pacific Islander,2019,Valley Center-Pauma Unified,-0.15%,0.15%,0.00%
Unknown,2019,Valley Center-Pauma Unified,-0.72%,0.72%,0.00%
Unreported,2019,Valley Center-Pauma Unified,11.45%,0.00%,11.45%
