,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Vista Unified,0.14%,0.37%,0.51%
Asian,2019,Vista Unified,0.84%,2.03%,2.87%
Black or African American,2019,Vista Unified,-1.30%,2.28%,0.98%
Caucasian,2019,Vista Unified,53.12%,23.54%,76.66%
Filipino,2019,Vista Unified,-0.57%,1.43%,0.85%
Hispanic,2019,Vista Unified,-49.48%,64.53%,15.05%
Multiracial,2019,Vista Unified,-3.60%,5.05%,1.45%
Native Hawaiian/Pacific Islander,2019,Vista Unified,-0.61%,0.70%,0.09%
Unknown,2019,Vista Unified,-0.08%,0.08%,0.00%
Unreported,2019,Vista Unified,1.54%,0.00%,1.54%
