,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Warner Unified,-8.80%,10.81%,2.02%
Asian,2019,Warner Unified,1.83%,6.95%,8.78%
Black or African American,2019,Warner Unified,-0.96%,1.97%,1.01%
Caucasian,2019,Warner Unified,28.05%,42.06%,70.12%
Filipino,2019,Warner Unified,-0.32%,1.33%,1.01%
Hispanic,2019,Warner Unified,-16.16%,25.35%,9.19%
Multiracial,2019,Warner Unified,-9.22%,9.62%,0.40%
Native Hawaiian/Pacific Islander,2019,Warner Unified,-0.28%,0.28%,0.00%
Unknown,2019,Warner Unified,-1.62%,1.62%,0.00%
Unreported,2019,Warner Unified,7.47%,0.00%,7.47%
